iter	Logloss	Accuracy
0	0.6844273532	0.6261499634
1	0.6756841357	0.6453635105
2	0.6682561745	0.6550516975
3	0.661073031	0.6597736709
4	0.654703311	0.6717414312
5	0.6483673503	0.674346658
6	0.6425709935	0.6815110315
7	0.6374480095	0.6835463649
8	0.6331562648	0.6832207116
9	0.6283166126	0.6859073516
10	0.6241318085	0.6881055117
11	0.6203403972	0.6905479117
12	0.6165495682	0.6905479117
13	0.6130593803	0.6903850851
14	0.6099039089	0.6925832451
15	0.6070463578	0.6936416185
16	0.6042229075	0.6948628185
17	0.601413839	0.6966539119
18	0.5990071605	0.6975494586
19	0.5964341705	0.6979565253
20	0.5942546748	0.698852072
21	0.5922530999	0.700561752
22	0.589549729	0.7018643654
23	0.5876688046	0.6999104453
24	0.5860534759	0.7002360987
25	0.5841977831	0.7021900187
26	0.5821807755	0.7038182854
27	0.5805354928	0.7042253521
28	0.5789416767	0.7049580721
29	0.5772690465	0.7059350322
30	0.5755426835	0.7069934055
31	0.573669028	0.7074004722
32	0.5724392645	0.7080517789
33	0.5712444559	0.7089473256
34	0.5702840897	0.7090287389
35	0.5691666817	0.7096800456
36	0.5678625322	0.7104941789
37	0.5665983204	0.7125295123
38	0.565709058	0.7123666857
39	0.5646085688	0.7121224457
40	0.5633207773	0.7146462591
41	0.5623320609	0.7154603924
42	0.5615414614	0.7162745258
43	0.5604110006	0.7169258325
44	0.5593682643	0.7177399658
45	0.5582152293	0.7179027925
46	0.5571497408	0.7181470325
47	0.5560892339	0.7179842058
48	0.5549883917	0.7192868192
49	0.5539579776	0.7193682325
50	0.5530397333	0.7206708459
51	0.5521630376	0.7202637792
52	0.5513277455	0.7202637792
53	0.5503490785	0.7210779126
54	0.5493928045	0.7218106326
55	0.5486677431	0.7229504193
56	0.5477945239	0.724334446
57	0.5469410153	0.723845966
58	0.5460786977	0.724578686
59	0.5450694605	0.7249043393
60	0.5442161404	0.7263697794
61	0.5433327469	0.7279166327
62	0.542563528	0.7286493528
63	0.5418985174	0.7296263128
64	0.5411152887	0.7305218595
65	0.5405152687	0.7306846862
66	0.539697469	0.7302776195
67	0.5388993076	0.7312545795
68	0.5381938078	0.7319872995
69	0.5375513208	0.7332899129
70	0.5370076842	0.7341854596
71	0.5364132924	0.7350810063
72	0.5355980335	0.7355694863
73	0.534671632	0.736709273
74	0.5339851164	0.735976553
75	0.5331892587	0.7367906863
76	0.5326358217	0.736953513
77	0.531959301	0.735976553
78	0.5311717947	0.7380118863
79	0.530679865	0.7380118863
80	0.5301847217	0.7385817797
81	0.5294289793	0.7390702597
82	0.528841172	0.7382561264
83	0.5281435433	0.7393144997
84	0.5273945902	0.7398843931
85	0.5268255678	0.7405356997
86	0.5261371108	0.7415940731
87	0.5255372788	0.7428152731
88	0.5248155873	0.7426524465
89	0.5241247353	0.7440364732
90	0.5237041688	0.7445249532
91	0.5229357888	0.7450948465
92	0.5223692333	0.7450948465
93	0.5219950062	0.7455019132
94	0.5214743512	0.7462346332
95	0.5208363594	0.7459903932
96	0.5204039174	0.7474558333
97	0.5198061424	0.7479443133
98	0.5193243343	0.74835138
99	0.5189095394	0.7477000733
100	0.5183731828	0.7477814866
101	0.5179494376	0.7472930066
102	0.517508865	0.74883986
103	0.5169229221	0.74957258
104	0.5164932508	0.7496539933
105	0.5161142015	0.7498982333
106	0.5155274933	0.7506309534
107	0.5150083343	0.75054954
108	0.5145870506	0.7507123667
109	0.5141592853	0.7503053
110	0.5136218671	0.7508751934
111	0.5130190372	0.75128226
112	0.512534899	0.7523406334
113	0.512033437	0.7523406334
114	0.5115654811	0.75177074
115	0.5109925339	0.7525034601
116	0.5105942185	0.7528291134
117	0.5100889243	0.7536432468
118	0.5096904794	0.7546202068
119	0.509293823	0.7538060734
120	0.5088762093	0.7541317268
121	0.508369238	0.7542945534
122	0.5078557212	0.7539689001
123	0.5071629487	0.7546202068
124	0.5066356677	0.7542131401
125	0.5061663442	0.7545387935
126	0.5057158005	0.7549458601
127	0.5050637721	0.7548644468
128	0.5044852692	0.7553529268
129	0.504042378	0.7559228202
130	0.503508078	0.7561670602
131	0.5031560069	0.7565741268
132	0.5025562122	0.7578767402
133	0.502096777	0.7587722869
134	0.5016216558	0.7597492469
135	0.5011364191	0.7602377269
136	0.5007013098	0.7603191403
137	0.5001348072	0.7602377269
138	0.4996903709	0.761703167
139	0.4992054357	0.7615403403
140	0.4987235279	0.7625987137
141	0.4981740548	0.7625987137
142	0.4977379268	0.763412847
143	0.4971258122	0.764145567
144	0.4966178437	0.7642269804
145	0.4960409808	0.7652039404
146	0.4955274326	0.7652853537
147	0.4947960519	0.7658552471
148	0.4945496849	0.7664251404
149	0.4941788063	0.7661809004
150	0.4937303014	0.7666693804
151	0.4932411781	0.7665879671
152	0.4927483477	0.7668322071
153	0.4924092262	0.7661809004
154	0.4919513026	0.7668322071
155	0.4914963092	0.7675649271
156	0.4910304556	0.7679719938
157	0.4905483209	0.7691117805
158	0.4899959174	0.7693560205
159	0.4895635248	0.7696816739
160	0.4889829345	0.7691117805
161	0.4885856803	0.7695188472
162	0.4881178416	0.7713913539
163	0.4875510089	0.7713099406
164	0.4870139308	0.7721240739
165	0.4863258413	0.773833754
166	0.4856508586	0.7739151673
167	0.4853416754	0.7739965806
168	0.4847408173	0.7751363673
169	0.4841713923	0.7757062607
170	0.4838171241	0.7761947407
171	0.4831779961	0.7770088741
172	0.4825395555	0.7778230074
173	0.4819968454	0.7778230074
174	0.481465383	0.7783929008
175	0.4806984834	0.7787185541
176	0.4803049339	0.7783929008
177	0.479828618	0.7789627941
178	0.4793056601	0.7796955141
179	0.4786915244	0.7804282341
180	0.4783715044	0.7803468208
181	0.4778591594	0.7809981275
182	0.4772609633	0.7813237808
183	0.4768564432	0.7816494342
184	0.4761797968	0.7836847676
185	0.475595564	0.7838475942
186	0.4749236709	0.7852316209
187	0.4743543619	0.7851502076
188	0.4738287579	0.7853944476
189	0.4733251696	0.7858015143
190	0.4727308887	0.7862899943
191	0.4723068144	0.7858829276
192	0.4718348068	0.787429781
193	0.4714361553	0.7872669543
194	0.4708001139	0.7884881544
195	0.4701129974	0.7893837011
196	0.4694950392	0.7894651144
197	0.4689679327	0.7910119678
198	0.4684989077	0.7908491411
199	0.4679896867	0.7911747944
200	0.4673982479	0.7919889278
201	0.466988656	0.7923145811
202	0.4664684714	0.7920703411
203	0.4659345931	0.7926402345
204	0.4652403576	0.7933729545
205	0.464761955	0.7932915412
206	0.4644332663	0.7936986078
207	0.4640487144	0.7943499145
208	0.4635157752	0.7950826345
209	0.4630840516	0.7956525279
210	0.4625269382	0.7964666612
211	0.4620367285	0.7972807946
212	0.4614884006	0.7976878613
213	0.4609650716	0.7974436213
214	0.4603881018	0.799071888
215	0.4598065618	0.8008629814
216	0.4591418749	0.8023284214
217	0.4585617324	0.8028169014
218	0.4578754535	0.8042009281
219	0.4572625468	0.8046079948
220	0.4566178244	0.8047708215
221	0.4560537864	0.8064805015
222	0.4554182119	0.8075388749
223	0.4548545955	0.8079459415
