iter	Passed	Remaining
0	247	246977
1	293	146394
2	353	117474
3	424	105663
4	474	94353
5	525	87056
6	574	81526
7	623	77375
8	678	74764
9	737	72983
10	789	70988
11	843	69438
12	904	68678
13	957	67403
14	1009	66269
15	1057	65061
16	1109	64164
17	1169	63788
18	1228	63442
19	1277	62574
20	1334	62225
21	1386	61639
22	1442	61261
23	1500	61020
24	1558	60768
25	1620	60705
26	1676	60433
27	1781	61855
28	1854	62104
29	1914	61911
30	1966	61476
31	2018	61048
32	2070	60657
33	2124	60365
34	2171	59880
35	2227	59652
36	2303	59950
37	2356	59650
38	2497	61549
39	5056	121361
40	6571	153712
41	9557	218005
42	10297	229188
43	10436	226765
44	10531	223500
45	10670	221292
46	10731	217598
47	10784	213888
48	10839	210371
49	10902	207154
50	10964	204024
51	11027	201038
52	11085	198081
53	11158	195480
54	11230	192958
55	11277	190105
56	11325	187368
57	11386	184940
58	11444	182537
59	11497	180132
60	11550	177796
61	11607	175614
62	11674	173632
63	11744	171760
64	11805	169824
65	11888	168244
66	11963	166590
67	12051	165173
68	12145	163877
69	12236	162569
70	12307	161035
71	12367	159398
72	12436	157926
73	12499	156409
74	12560	154907
75	12618	153414
76	12696	152195
77	12760	150830
78	12827	149545
79	12888	148215
80	12945	146872
81	13016	145715
82	13078	144497
83	13144	143342
84	13214	142248
85	13271	141052
86	13327	139863
87	13400	138875
88	13465	137827
89	13565	137164
90	13670	136559
91	13736	135574
92	13797	134564
93	13869	133681
94	13928	132689
95	13986	131710
96	14047	130775
97	14101	129791
98	14161	128884
99	14231	128080
100	14289	127186
101	14339	126242
102	14398	125393
103	14459	124572
104	14513	123713
105	14567	122860
106	14626	122065
107	14684	121280
108	14760	120660
109	14814	119860
110	14869	119087
111	14931	118384
112	14996	117714
113	15062	117061
114	15117	116340
115	15166	115582
116	15218	114857
117	15288	114272
118	15338	113556
119	15389	112857
120	15445	112206
121	15495	111516
122	15562	110961
123	15612	110296
124	15664	109654
125	15731	109124
126	15794	108574
127	15849	107971
128	15921	107501
129	15994	107042
130	16080	106669
131	16154	106228
132	16227	105782
133	16282	105231
134	16353	104784
135	16415	104284
136	16469	103742
137	16518	103178
138	16568	102631
139	16621	102102
140	16674	101583
141	16724	101055
142	16779	100560
143	16831	100051
144	16891	99602
145	16952	99160
146	17001	98656
147	17051	98163
148	17105	97694
149	17173	97316
150	17230	96877
151	17289	96456
152	17342	96008
153	17415	95673
154	17477	95278
155	17532	94857
156	17586	94429
157	17637	93994
158	17697	93606
159	17750	93188
160	17807	92797
161	17855	92362
162	17914	91988
163	17964	91576
164	18012	91156
165	18065	90760
166	18120	90383
167	18171	89992
168	18225	89616
169	18277	89238
170	18343	88926
171	18409	88623
172	18470	88297
173	18531	87970
174	18577	87579
175	18623	87194
176	18669	86808
177	18720	86450
178	18771	86096
179	18835	85805
180	18910	85566
181	18961	85224
182	19012	84879
183	19060	84527
184	19110	84190
185	19168	83888
186	19226	83588
187	19295	83339
188	19366	83101
189	19445	82897
190	19517	82666
191	19573	82373
192	19632	82091
193	19687	81795
194	19741	81498
195	19794	81198
196	19852	80922
197	19910	80646
198	19966	80369
199	20015	80063
200	20067	79768
201	20115	79467
202	20168	79183
203	20231	78941
204	20290	78687
205	20343	78411
206	20402	78159
207	20463	77919
208	20523	77673
209	20581	77425
210	20652	77226
211	20706	76966
212	20757	76695
213	20809	76430
214	20866	76185
215	20926	75956
216	21002	75784
217	21052	75519
218	21102	75256
219	21150	74988
220	21194	74709
221	21238	74428
222	21282	74154
223	21326	73879
224	21382	73649
225	21439	73425
226	21484	73160
227	21542	72940
228	21595	72708
229	21647	72471
230	21697	72232
231	21743	71977
232	21785	71715
233	21834	71476
234	21890	71261
235	21933	71005
236	21979	70761
237	22023	70513
238	22068	70267
239	22111	70018
240	22155	69775
241	22201	69540
242	22244	69296
243	22297	69085
244	22339	68843
245	22385	68612
246	22429	68378
247	22472	68141
248	22516	67910
249	22566	67698
250	22611	67474
251	22661	67264
252	22717	67075
253	22762	66854
254	22806	66630
255	22850	66410
256	22896	66195
257	22938	65971
258	22983	65757
259	23028	65542
260	23088	65372
261	23142	65188
262	23187	64976
263	23230	64764
264	23272	64549
265	23317	64343
266	23362	64137
267	23406	63929
268	23447	63717
269	23500	63539
270	23555	63365
271	23609	63191
272	23653	62989
273	23697	62789
274	23754	62626
275	23806	62448
276	23863	62285
277	23910	62098
278	23957	61910
279	24012	61745
280	24056	61552
281	24100	61362
282	24143	61168
283	24187	60979
284	24233	60797
285	24277	60609
286	24322	60425
287	24367	60242
288	24425	60092
289	24470	59910
290	24514	59726
291	24556	59540
292	24600	59359
293	24650	59195
294	24693	59014
295	24739	58839
296	24796	58694
297	24853	58546
298	24901	58382
299	24946	58208
300	24988	58029
301	25031	57853
302	25074	57678
303	25116	57504
304	25158	57328
305	25206	57167
306	25261	57024
307	25305	56856
308	25349	56687
309	25394	56522
310	25436	56353
311	25481	56189
312	25525	56025
313	25569	55862
314	25618	55709
315	25681	55588
316	25732	55443
317	25776	55282
318	25821	55123
319	25867	54967
320	25926	54840
321	25978	54699
322	26030	54559
323	26087	54430
324	26141	54294
325	26186	54139
326	26230	53984
327	26274	53830
328	26317	53674
329	26363	53525
330	26406	53371
331	26451	53221
332	26499	53077
333	26553	52947
334	26596	52796
335	26641	52648
336	26693	52516
337	26746	52384
338	26799	52255
339	26860	52140
340	26909	52004
341	26956	51863
342	27026	51768
343	27072	51626
344	27122	51494
345	27169	51355
346	27215	51215
347	27264	51080
348	27310	50943
349	27362	50815
350	27414	50689
351	27471	50573
352	27516	50433
353	27561	50295
354	27605	50155
355	27648	50015
356	27694	49880
357	27744	49754
358	27787	49615
359	27841	49495
360	27899	49384
361	27944	49250
362	27989	49117
363	28032	48980
364	28077	48846
365	28132	48732
366	28185	48614
367	28238	48495
368	28314	48419
369	28383	48327
370	28427	48196
371	28472	48066
372	28516	47934
373	28559	47803
374	28606	47677
375	28651	47548
376	28695	47420
377	28752	47311
378	28823	47227
379	28876	47113
380	28921	46988
381	28978	46882
382	29023	46756
383	29069	46632
384	29122	46519
385	29173	46405
386	29232	46303
387	29298	46213
388	29355	46108
389	29411	46002
390	29468	45898
391	29525	45794
392	29583	45692
393	29643	45593
394	29703	45495
395	29765	45400
396	29827	45304
397	29871	45181
398	29920	45068
399	29967	44951
400	30011	44830
401	30063	44721
402	30120	44620
403	30175	44516
404	30235	44420
405	30328	44372
406	30395	44286
407	30455	44190
408	30510	44088
409	30572	43994
410	30645	43917
411	30700	43815
412	30759	43718
413	30825	43632
414	30896	43552
415	30956	43457
416	31014	43361
417	31065	43254
418	31114	43144
419	31162	43034
420	31209	42922
421	31286	42851
422	31355	42770
423	31427	42694
424	31484	42596
425	31555	42518
426	31610	42418
427	31660	42313
428	31718	42217
429	31777	42123
430	31841	42037
431	31900	41942
432	31973	41868
433	32035	41779
434	32094	41685
435	32152	41591
436	32213	41501
437	32273	41410
438	32321	41303
439	32364	41191
440	32424	41100
441	32485	41011
442	32557	40936
443	32626	40856
444	32709	40795
445	32780	40718
446	32829	40614
447	32895	40531
448	32945	40429
449	32988	40318
450	33046	40226
451	33090	40118
452	33135	40011
453	33178	39902
454	33221	39792
455	33266	39686
456	33309	39578
457	33355	39472
458	33401	39368
459	33462	39282
460	33505	39174
461	33553	39072
462	33598	38968
463	33642	38863
464	33687	38758
465	33736	38659
466	33780	38554
467	33829	38455
468	33885	38365
469	33945	38278
470	33992	38178
471	34038	38076
472	34082	37973
473	34123	37867
474	34167	37764
475	34216	37666
476	34261	37565
477	34325	37485
478	34369	37383
479	34415	37283
480	34461	37183
481	34506	37084
482	34551	36984
483	34596	36884
484	34639	36782
485	34696	36695
486	34770	36627
487	34824	36536
488	34875	36444
489	34936	36362
490	34987	36269
491	35028	36167
492	35072	36068
493	35115	35968
494	35166	35876
495	35221	35789
496	35266	35692
497	35311	35594
498	35356	35498
499	35399	35399
500	35441	35300
501	35485	35202
502	35530	35106
503	35578	35013
504	35633	34928
505	35692	34845
506	35770	34782
507	35821	34692
508	35865	34597
509	35908	34500
510	35957	34409
511	36016	34328
512	36103	34274
513	36186	34215
514	36248	34136
515	36375	34119
516	36529	34127
517	36594	34051
518	36642	33959
519	36690	33867
520	36736	33774
521	37407	34253
522	40056	36533
523	40132	36456
524	40191	36363
525	40247	36268
526	40295	36166
527	40345	36066
528	40802	36329
529	42087	37322
530	42415	37462
531	42493	37381
532	42546	37278
533	42591	37167
534	42650	37070
535	42700	36964
536	42746	36855
537	42791	36746
538	42842	36642
539	42898	36543
540	42953	36442
541	43000	36336
542	43042	36225
543	43087	36117
544	43136	36012
545	43184	35908
546	43231	35802
547	43275	35694
548	43324	35591
549	43379	35492
550	43424	35385
551	43567	35359
552	43617	35256
553	43677	35162
554	43720	35055
555	43769	34952
556	43813	34845
557	43864	34745
558	43918	34647
559	44224	34747
560	44291	34659
561	44359	34571
562	44423	34481
563	44482	34387
564	44536	34289
565	44599	34198
566	44656	34103
567	45843	34867
568	45904	34771
569	45950	34664
570	45995	34557
571	46039	34449
572	46093	34348
573	46137	34241
574	46186	34138
575	46234	34033
576	46292	33937
577	46335	33829
578	46378	33722
579	46421	33615
580	46614	33616
581	46825	33630
582	46878	33530
583	46933	33431
584	46993	33337
585	47059	33247
586	47115	33149
587	47173	33053
588	47226	32954
589	47274	32852
590	47325	32751
591	47370	32647
592	47414	32542
593	47458	32438
594	47510	32339
595	47554	32234
596	47599	32131
597	47642	32027
598	47687	31924
599	47729	31819
600	47772	31716
601	47992	31729
602	48066	31645
603	48133	31557
604	48178	31455
605	48220	31351
606	48767	31574
607	48822	31477
608	48865	31373
609	48909	31270
610	48957	31169
611	49018	31076
612	49072	30980
613	49117	30878
614	49160	30775
615	49207	30674
616	49251	30572
617	49305	30477
618	49352	30377
619	49398	30276
620	49441	30174
621	49500	30082
622	49546	29982
623	49885	30058
624	50764	30458
625	52385	31297
626	54503	32424
627	55645	32961
628	56922	33574
629	57008	33480
630	57068	33372
631	57114	33256
632	57158	33139
633	57204	33023
634	57249	32907
635	57295	32791
636	57342	32677
637	57386	32560
638	57435	32447
639	57490	32338
640	57541	32226
641	57586	32112
642	57632	31998
643	57687	31889
644	57734	31776
645	57782	31663
646	57833	31553
647	57898	31450
648	57986	31361
649	58039	31252
650	58085	31139
651	58128	31025
652	58175	30913
653	58217	30800
654	58262	30687
655	58305	30574
656	58370	30473
657	58436	30373
658	58481	30261
659	58525	30149
660	58573	30040
661	58616	29927
662	58659	29816
663	58703	29705
664	58746	29594
665	58792	29484
666	58848	29380
667	58892	29269
668	58936	29160
669	58992	29055
670	59050	28953
671	59112	28852
672	59163	28746
673	59219	28643
674	59279	28541
675	59335	28438
676	59380	28330
677	59423	28221
678	59469	28114
679	59513	28006
680	59558	27899
681	59602	27791
682	59645	27683
683	59691	27576
684	59753	27478
685	59808	27375
686	59854	27269
687	59899	27163
688	59944	27057
689	60011	26961
690	60075	26864
691	60133	26764
692	60183	26661
693	60239	26560
694	60282	26454
695	60325	26349
696	60369	26243
697	60413	26138
698	60461	26035
699	60505	25931
700	60547	25825
701	60597	25723
702	60650	25623
703	60695	25519
704	60739	25415
705	60783	25311
706	60826	25208
707	60869	25104
708	60911	25000
709	60956	24897
710	61002	24795
711	61057	24697
712	61112	24599
713	61161	24498
714	61202	24395
715	61252	24295
716	61311	24199
717	61365	24101
718	61420	24004
719	61465	23903
720	61514	23803
721	61557	23702
722	61614	23605
723	61657	23504
724	61701	23404
725	61746	23303
726	61790	23203
727	61836	23103
728	61882	23004
729	61926	22904
730	61970	22804
731	62021	22707
732	62100	22620
733	62144	22521
734	62188	22421
735	62232	22322
736	62278	22224
737	62331	22128
738	62381	22031
739	62425	21933
740	62479	21838
741	62531	21742
742	62575	21644
743	62623	21547
744	62671	21451
745	62717	21354
746	62764	21257
747	62811	21161
748	62856	21063
749	62908	20969
750	62991	20885
751	63039	20789
752	63101	20698
753	63149	20603
754	63197	20507
755	63241	20411
756	63285	20314
757	63330	20219
758	63378	20124
759	63433	20031
760	63490	19939
761	63541	19846
762	63593	19753
763	63641	19658
764	63688	19564
765	63732	19469
766	63776	19374
767	63819	19278
768	63873	19186
769	63917	19092
770	63962	18997
771	64006	18903
772	64052	18809
773	64096	18715
774	64158	18626
775	64203	18532
776	64261	18443
777	64318	18353
778	64373	18262
779	64415	18168
780	64465	18076
781	64520	17986
782	64572	17895
783	64615	17802
784	64670	17712
785	64723	17621
786	64786	17534
787	64843	17445
788	64889	17353
789	64944	17263
790	64999	17174
791	65053	17084
792	65101	16993
793	65152	16903
794	65212	16815
795	65268	16727
796	65310	16634
797	65354	16543
798	65404	16453
799	65455	16363
800	65507	16274
801	65553	16183
802	65597	16093
803	65653	16005
804	65728	15921
805	65791	15835
806	65853	15749
807	65933	15667
808	66005	15583
809	66081	15500
810	66155	15417
811	66260	15341
812	66336	15258
813	66484	15191
814	66567	15110
815	66667	15032
816	66746	14950
817	66818	14866
818	66882	14781
819	66954	14697
820	67013	14610
821	67071	14523
822	67161	14444
823	67214	14356
824	67426	14302
825	67644	14249
826	67734	14169
827	67790	14082
828	67854	13996
829	67929	13913
830	68012	13831
831	68276	13786
832	68375	13707
833	68463	13627
834	68518	13539
835	68570	13451
836	68629	13365
837	68685	13278
838	68737	13190
839	68797	13104
840	68883	13023
841	69041	12955
842	69125	12873
843	69174	12785
844	69238	12700
845	69301	12615
846	69389	12534
847	69464	12451
848	69536	12367
849	69613	12284
850	69662	12197
851	69705	12108
852	69749	12020
853	69799	11933
854	69850	11845
855	69910	11760
856	70027	11684
857	70137	11607
858	70221	11526
859	70285	11441
860	70341	11355
861	70416	11273
862	70475	11187
863	70570	11108
864	70668	11029
865	70787	10953
866	70854	10869
867	70957	10790
868	71019	10706
869	71076	10620
870	71132	10535
871	71186	10449
872	71236	10363
873	71290	10277
874	71345	10192
875	71403	10107
876	71517	10030
877	71565	9944
878	71615	9858
879	71668	9773
880	71722	9687
881	71771	9602
882	71823	9516
883	71871	9431
884	71921	9345
885	71983	9261
886	72040	9177
887	72092	9092
888	72141	9007
889	72190	8922
890	72234	8836
891	72293	8753
892	72351	8669
893	72414	8586
894	72492	8504
895	72549	8420
896	72607	8337
897	72662	8253
898	72718	8169
899	72776	8086
900	72832	8002
901	72883	7918
902	72933	7834
903	72993	7751
904	73042	7667
905	73095	7583
906	73151	7500
907	73209	7417
908	73272	7335
909	73347	7254
910	73406	7171
911	73485	7090
912	73593	7012
913	73649	6929
914	73697	6846
915	73747	6762
916	73799	6679
917	73849	6596
918	73900	6513
919	73951	6430
920	74007	6348
921	74072	6266
922	74121	6183
923	74172	6100
924	74225	6018
925	74277	5935
926	74330	5853
927	74384	5771
928	74441	5689
929	74518	5608
930	74596	5528
931	74651	5446
932	74703	5364
933	74756	5282
934	74808	5200
935	74858	5118
936	74906	5036
937	74956	4954
938	75017	4873
939	75079	4792
940	75129	4710
941	75179	4628
942	75230	4547
943	75279	4465
944	75329	4384
945	75384	4303
946	75433	4221
947	75497	4141
948	75586	4062
949	75636	3980
950	75684	3899
951	75731	3818
952	75779	3737
953	75828	3656
954	75879	3575
955	75929	3494
956	75982	3414
957	76043	3333
958	76093	3253
959	76145	3172
960	76194	3092
961	76246	3011
962	76303	2931
963	76354	2851
964	76404	2771
965	76460	2691
966	76535	2611
967	76609	2532
968	76680	2453
969	76737	2373
970	76789	2293
971	76838	2213
972	76883	2133
973	76930	2053
974	76979	1973
975	77066	1895
976	77110	1815
977	77162	1735
978	77211	1656
979	77260	1576
980	77316	1497
981	77371	1418
982	77425	1338
983	77477	1259
984	77541	1180
985	77594	1101
986	77665	1022
987	77721	943
988	77776	865
989	77827	786
990	77877	707
991	77930	628
992	77987	549
993	78067	471
994	78135	392
995	78198	314
996	78278	235
997	78344	157
998	78407	78
999	78467	0
